dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,bg,group,aAvg,bAvg,cAvg,alphaAvg,betaAvg,gammaAvg,bgAvg,aDev,bDev,cDev,alphaDev,betaDev,gammaDev,bgDev,aMaxDev,bMaxDev,cMaxDev,alphaMaxDev,betaMaxDev,gammaMaxDev,bgMaxDev
/gpfs/scratch/vkb5066/consis/tetra/0250/1,1,-60.39329725,37,92,5.770508009,5.770704937,11.09468124,89.66406391,89.634563,89.86476413,0.434541,12,5.76286717,5.762140787,11.08303981,89.88211503,89.6516311,89.94786847,0.443193,0.007640839,0.00856415,0.011641435,0.218051123,0.017068097,0.08310434,0.008652,0.007640839,0.00856415,0.011641435,0.218051123,0.017068097,0.08310434,0.009037
/gpfs/scratch/vkb5066/consis/tetra/0250/2,2,-60.38900829,42,92,5.75911198,5.757221442,11.07778387,89.99072819,89.65775083,89.99343409,0.442808,12,5.76286717,5.762140787,11.08303981,89.88211503,89.6516311,89.94786847,0.443193,0.00375519,0.004919345,0.005255942,0.108613157,0.006119733,0.045565627,0.000385,0.007640839,0.00856415,0.011641435,0.218051123,0.017068097,0.08310434,0.009037
/gpfs/scratch/vkb5066/consis/tetra/0250/3,3,-60.38910381,25,92,5.758981521,5.758495981,11.07665431,89.99155299,89.66257946,89.98540718,0.45223,12,5.76286717,5.762140787,11.08303981,89.88211503,89.6516311,89.94786847,0.443193,0.003885649,0.003644805,0.006385493,0.109437966,0.010948363,0.037538713,0.009037,0.007640839,0.00856415,0.011641435,0.218051123,0.017068097,0.08310434,0.009037
/gpfs/scratch/vkb5066/consis/tetra/0375/1,1,-61.09037162,40,92,5.726056664,5.726056633,10.99689215,89.79136405,89.79451858,89.97432534,0.487114,13,5.724243943,5.718248258,10.99468402,89.8096271,89.55043688,89.91980737,0.497254333,0.001812721,0.007808376,0.002208126,0.018263053,0.244081702,0.054517971,0.010140333,0.003267287,0.007808376,0.003169036,0.018263053,0.244081702,0.054517971,0.010140333
/gpfs/scratch/vkb5066/consis/tetra/0375/2,2,-61.13332886,33,92,5.720976656,5.712598183,10.99151498,89.81332506,89.40404762,89.88459329,0.500761,13,5.724243943,5.718248258,10.99468402,89.8096271,89.55043688,89.91980737,0.497254333,0.003267287,0.005650075,0.003169036,0.003697961,0.146389263,0.035214073,0.003506667,0.003267287,0.007808376,0.003169036,0.018263053,0.244081702,0.054517971,0.010140333
/gpfs/scratch/vkb5066/consis/tetra/0375/3,3,-61.13359315,50,92,5.725698509,5.716089957,10.99564493,89.82419219,89.45274444,89.90050347,0.503888,13,5.724243943,5.718248258,10.99468402,89.8096271,89.55043688,89.91980737,0.497254333,0.001454566,0.002158301,0.00096091,0.014565092,0.09769244,0.019303899,0.006633667,0.003267287,0.007808376,0.003169036,0.018263053,0.244081702,0.054517971,0.010140333
/gpfs/scratch/vkb5066/consis/tetra/0500/1,1,-61.88051809,42,92,5.697739346,5.697954382,10.92645192,89.64437766,89.6439525,89.98507308,0.581715,14,5.693021359,5.692984251,10.92799675,89.63581387,89.63687514,89.95228023,0.571274667,0.004717987,0.004970131,0.00154483,0.00856379,0.007077359,0.032792855,0.010440333,0.010362755,0.010641247,0.015016794,0.029719046,0.025886614,0.054619784,0.016003667
/gpfs/scratch/vkb5066/consis/tetra/0500/2,2,-61.8588455,31,92,5.698666127,5.698655367,10.94301354,89.65696913,89.65568439,89.89766044,0.555271,14,5.693021359,5.692984251,10.92799675,89.63581387,89.63687514,89.95228023,0.571274667,0.005644768,0.005671116,0.015016794,0.021155256,0.018809255,0.054619784,0.016003667,0.010362755,0.010641247,0.015016794,0.029719046,0.025886614,0.054619784,0.016003667
/gpfs/scratch/vkb5066/consis/tetra/0500/3,3,-61.88041823,39,92,5.682658604,5.682343003,10.91452478,89.60609483,89.61098853,89.97410716,0.576838,14,5.693021359,5.692984251,10.92799675,89.63581387,89.63687514,89.95228023,0.571274667,0.010362755,0.010641247,0.013471964,0.029719046,0.025886614,0.021826929,0.005563333,0.010362755,0.010641247,0.015016794,0.029719046,0.025886614,0.054619784,0.016003667
/gpfs/scratch/vkb5066/consis/tetra/0625/1,1,-62.59195961,17,92,5.655327683,5.65536573,10.85257905,89.78920423,89.82543286,89.86378838,0.589063,15,5.648552794,5.648344367,10.84906181,89.67258079,89.68583048,89.92921318,0.589344667,0.006774889,0.007021363,0.003517243,0.116623436,0.139602385,0.0654248,0.000281667,0.008130148,0.009298107,0.003517243,0.254654675,0.262133595,0.0654248,0.001878333
