dir,workDir,nrg,dnrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,sxx,syy,szz,sxy,syz,szx
/gpfs/scratch/vkb5066/ortho/elas/x0750/2/p0.002,p0.002,-63.35519485,-.00000161,15,226,6.42792574525183058674,6.74989259486281016553,7.87926715677448735492,89.78354901134726096148,89.92255715807847922911,89.96200859437291538679,341.86130526354985782791,-0.04228,-1.14224,-0.20036,-0.01666,-0.03787,0.00899
/gpfs/scratch/vkb5066/ortho/elas/x0750/3/n0.001,n0.001,-63.35485670,-.00000010,13,226,6.42792574079059642009,6.73641978036163850585,7.87138786450707662287,89.78355127323786033728,89.92255853535305346216,89.96200892072244276337,340.83776842614761079692,1.11467,1.26866,1.78848,-0.02547,-0.02227,0.01733
/gpfs/scratch/vkb5066/ortho/elas/x0750/3/n0.002,n0.002,-63.35432283,-.00000091,13,226,6.42792573775639059520,6.73641975678699529646,7.86350862961867362442,89.78354895171126420417,89.92255969122563445586,89.96200906785274788116,340.49658948033925520410,1.51664,1.76451,2.80928,-0.02098,-0.02158,0.01923
/gpfs/scratch/vkb5066/ortho/elas/x0750/3/p0.001,p0.001,-63.35528046,-.00000068,10,226,6.42792574686812431782,6.73641982758175491664,7.88714633448045433144,89.78355525943764310657,89.92255599440759212736,89.96200862601978210963,341.52012632209439840588,0.30728,0.27788,-0.22276,-0.02626,-0.03211,0.00337
/gpfs/scratch/vkb5066/ortho/elas/x0750/3/p0.002,p0.002,-63.35518372,-.00000084,11,226,6.42792574991144639064,6.73641985122722811755,7.89502556946523728630,89.78355692542052898557,89.92255460979171124456,89.96200847844742740905,341.86130526790275399870,-0.09070,-0.20696,-1.24243,-0.02754,-0.03468,-0.00254
/gpfs/scratch/vkb5066/ortho/elas/x0750/4/n0.001,n0.001,-63.35507894,-.00000063,18,226,6.42792788947067683592,6.73645064026100155679,7.87930371204168903469,89.66896304038562400351,89.92251932972801597573,89.96193005639188132748,341.17894737487045557556,0.71669,0.78141,0.78040,-0.02264,0.46461,0.00900
/gpfs/scratch/vkb5066/ortho/elas/x0750/4/n0.002,n0.002,-63.35477830,-.00000058,18,226,6.42793432031857378566,6.73649270394849443322,7.87935345655977207916,89.55437380071938168608,89.92248135428236806088,89.96185133839205632447,341.17894737434522709554,0.70696,0.79691,0.78998,-0.01861,0.94522,0.00898
/gpfs/scratch/vkb5066/ortho/elas/x0750/4/p0.001,p0.001,-63.35506356,-.00000003,14,226,6.42792788358996578350,6.73640019479217974198,7.87924361897410351504,89.89814457613580168627,89.92259527630909590971,89.96208749183020933972,341.17894737499332384709,0.70382,0.76399,0.76568,-0.02321,-0.52561,0.00999
/gpfs/scratch/vkb5066/ortho/elas/x0750/4/p0.002,p0.002,-63.35473030,-.00000095,14,226,6.42793430855711834326,6.73639181311149556717,7.87923327044510058362,89.98741562528090544565,89.92263324714354057811,89.96216620953302766433,341.17894737541801063401,0.69586,0.75143,0.76140,-0.02289,-1.01308,0.01575
/gpfs/scratch/vkb5066/ortho/elas/x0750/5/n0.001,n0.001,-63.35508091,.00000035,13,226,6.42793993969886966744,6.73642205771143158391,7.87928414112067140638,89.78351565317554567413,89.80796615968535232541,89.96179427128529203301,341.17894737376020813749,0.70538,0.77288,0.79292,-0.02276,-0.02869,0.46977
