tetra
hole
x,extrA,extrB,extrC,extBandNum,0_m*/m0,0_uvA,0_uvB,0_uvC,1_m*/m0,1_uvA,1_uvB,1_uvC,2_m*/m0,2_uvA,2_uvB,2_uvC,3_m*/m0,3_uvA,3_uvB,3_uvC,4_m*/m0,4_uvA,4_uvB,4_uvC,5_m*/m0,5_uvA,5_uvB,5_uvC,6_m*/m0,6_uvA,6_uvB,6_uvC,7_m*/m0,7_uvA,7_uvB,7_uvC,8_m*/m0,8_uvA,8_uvB,8_uvC,9_m*/m0,9_uvA,9_uvB,9_uvC,10_m*/m0,10_uvA,10_uvB,10_uvC,11_m*/m0,11_uvA,11_uvB,11_uvC,12_m*/m0,12_uvA,12_uvB,12_uvC
0.75,0.0,0.0,0.0,62,-1.511338061855313,1.000,-0.000,-0.001,-1.8834838554329194,-0.000,1.000,-0.002,-1.5800306221398537,0.723,0.690,-0.002,-1.6830350715047933,-0.723,0.690,-0.001,-0.7157363135497995,-0.001,-0.002,1.000,-1.0037524356737832,0.715,-0.002,0.700,-1.0066661518792877,-0.715,-0.001,0.700,-1.0884384126192992,-0.001,0.698,0.716,-1.2102639118374172,0.591,0.563,0.578,-1.2090528037193382,-0.591,0.563,0.578,-1.1753581058773017,-0.000,-0.698,0.716,-1.2885374992944627,0.590,-0.564,0.578,-1.2808315196504474,-0.590,-0.563,0.579
0.875,0.0,0.0,0.0,62,-1.5382770021806218,1.000,-0.000,-0.000,-2.070761146096969,-0.000,1.000,-0.000,-1.647594051813965,0.723,0.690,-0.000,-1.7795958444422058,-0.723,0.690,0.000,-0.7495625778255053,-0.000,-0.000,1.000,-1.024180450371664,0.714,-0.000,0.700,-1.0242506197026793,-0.714,0.000,0.700,-1.1617391429452413,-0.000,0.698,0.716,-1.2800265268353603,0.590,0.563,0.579,-1.2715008498549762,-0.590,0.563,0.578,-1.1618022050311496,0.000,-0.698,0.716,-1.2714807313417604,0.590,-0.563,0.578,-1.2801617958770934,-0.590,-0.563,0.579
1.0,0.0,0.0,0.0,62,-1.582780530094991,1.000,-0.000,-0.000,-1.725067799505103,-0.000,1.000,-0.000,-1.6113474929569809,0.721,0.693,-0.000,-1.6115100726782927,-0.721,0.693,0.000,-0.8066787178702736,-0.000,-0.000,1.000,-1.1099709739244572,0.714,-0.000,0.700,-1.1102701249857012,-0.714,0.000,0.700,-1.2097169210491432,-0.000,0.700,0.715,-1.3238110653959543,0.589,0.565,0.577,-1.3240793797231438,-0.589,0.565,0.577,-1.2098049806382891,-0.000,-0.700,0.714,-1.3238135867958476,0.589,-0.565,0.577,-1.3241507757933553,-0.589,-0.565,0.577
elec
x,extrA,extrB,extrC,extBandNum,0_m*/m0,0_uvA,0_uvB,0_uvC,1_m*/m0,1_uvA,1_uvB,1_uvC,2_m*/m0,2_uvA,2_uvB,2_uvC,3_m*/m0,3_uvA,3_uvB,3_uvC,4_m*/m0,4_uvA,4_uvB,4_uvC,5_m*/m0,5_uvA,5_uvB,5_uvC,6_m*/m0,6_uvA,6_uvB,6_uvC,7_m*/m0,7_uvA,7_uvB,7_uvC,8_m*/m0,8_uvA,8_uvB,8_uvC,9_m*/m0,9_uvA,9_uvB,9_uvC,10_m*/m0,10_uvA,10_uvB,10_uvC,11_m*/m0,11_uvA,11_uvB,11_uvC,12_m*/m0,12_uvA,12_uvB,12_uvC
0.0,0.0,0.0,0.0,63,0.1652541989082547,1.000,-0.000,-0.000,0.160163356443078,-0.000,1.000,-0.000,0.21418234143516462,0.722,0.692,-0.000,0.21416386780415736,-0.722,0.692,-0.000,0.16553208979348394,-0.000,-0.000,1.000,0.20952396096568376,0.714,-0.000,0.700,0.20952635249874002,-0.714,0.000,0.700,0.21608548635045405,-0.000,0.700,0.714,0.2160885276747709,0.000,-0.700,0.714,0.2684796097403155,0.589,0.565,0.577,0.26848130753562277,-0.589,-0.565,0.577,0.2684405441193493,-0.589,0.565,0.577,0.26844066667205324,0.589,-0.565,0.577
0.125,0.0,0.0,0.0,63,0.17931847838146095,1.000,-0.002,-0.000,0.17081311321314022,-0.002,1.000,-0.000,0.22653957451139334,0.724,0.690,-0.000,0.23157828307321715,-0.723,0.690,-0.000,0.17451987502282318,-0.000,-0.000,1.000,0.22185028327944972,0.715,-0.002,0.699,0.22185418701822254,-0.715,0.002,0.699,0.22523620617907322,-0.002,0.699,0.715,0.2252356442748039,0.002,-0.699,0.715,0.27363423378250123,0.590,0.563,0.578,0.27363803216202576,-0.590,-0.563,0.578,0.28596444838495394,-0.591,0.564,0.576,0.28596247291671784,0.591,-0.564,0.576
0.25,0.0,0.0,0.0,63,0.18431256118876127,1.000,-0.002,-0.001,0.1794564513913516,-0.002,1.000,-0.001,0.23229663452995114,0.724,0.690,-0.002,0.23182474044571671,-0.724,0.690,-0.000,0.18351946999193597,-0.001,-0.001,1.000,0.2276849845966953,0.715,-0.002,0.699,0.22759210892731,-0.715,0.001,0.699,0.23463069380352267,-0.002,0.698,0.716,0.28573999593729793,0.591,0.563,0.578,0.2847499116519004,-0.592,0.563,0.577,0.23430170397532435,0.001,-0.698,0.716,0.2849962653822559,0.590,-0.564,0.577,0.2883352339975489,-0.590,-0.563,0.579
0.375,0.0,0.0,0.0,63,0.1962463340680718,1.000,-0.002,-0.000,0.1864835537194134,-0.002,1.000,-0.004,0.2401131386922121,0.724,0.690,-0.003,0.24767707133420375,-0.724,0.690,-0.002,0.19484663366948637,-0.000,-0.004,1.000,0.24412869805218146,0.715,-0.004,0.699,0.2375804470219852,-0.715,-0.001,0.699,0.24278878176038374,-0.002,0.698,0.717,0.29003128142044654,0.592,0.562,0.578,0.30008009562956456,-0.593,0.562,0.577,0.2444010229414222,0.001,-0.698,0.716,0.31001763787422437,0.590,-0.564,0.578,0.2881239997333982,-0.589,-0.563,0.580
0.5,0.0,0.0,0.0,63,0.20016269582083848,1.000,-0.003,-0.001,0.19805559621219207,-0.003,1.000,-0.003,0.2484574997911038,0.722,0.692,-0.003,0.2575029960476041,-0.722,0.692,-0.001,0.2024254805421691,-0.001,-0.003,1.000,0.24737706348973812,0.715,-0.004,0.699,0.2403152683980132,-0.715,-0.000,0.700,0.25299060314981003,-0.003,0.700,0.714,0.29917098259651836,0.590,0.565,0.577,0.3062366860777196,-0.591,0.565,0.576,0.2524196884595883,0.001,-0.700,0.714,0.31783468263526526,0.589,-0.567,0.576,0.297061890504046,-0.588,-0.565,0.579
0.625,0.0,0.0,0.0,63,0.20694540221975363,1.000,-0.000,-0.001,0.20937010583096394,-0.000,1.000,-0.003,0.25721323142267977,0.724,0.690,-0.003,0.256357723455388,-0.723,0.690,-0.002,0.21250340042115526,-0.001,-0.003,1.000,0.2518927490364645,0.715,-0.003,0.699,0.25136233954230314,-0.715,-0.002,0.699,0.2610686333199919,-0.001,0.698,0.716,0.31204234377250434,0.592,0.563,0.577,0.30414432275381864,-0.592,0.563,0.577,0.2636781847092207,-0.000,-0.698,0.716,0.31262892906466744,0.589,-0.565,0.578,0.31640509125751964,-0.589,-0.564,0.578
0.75,0.0,0.0,0.0,63,0.21866798009169922,1.000,-0.000,-0.001,0.22277385505566255,-0.000,1.000,-0.002,0.26880178081013706,0.723,0.690,-0.002,0.27346068244597604,-0.723,0.690,-0.001,0.22148807251479305,-0.001,-0.002,1.000,0.26193008554582836,0.715,-0.002,0.700,0.2623329257834982,-0.715,-0.001,0.700,0.27349517453569333,-0.001,0.698,0.716,0.31669045221665904,0.591,0.563,0.578,0.327659941581529,-0.591,0.563,0.578,0.27485104339710303,-0.000,-0.698,0.716,0.3298442299648024,0.590,-0.564,0.578,0.3190257392432571,-0.590,-0.563,0.579
0.875,0.0,0.0,0.0,63,0.22818363984155918,1.000,-0.000,-0.000,0.22982725741149027,-0.000,1.000,-0.000,0.27656567025708406,0.723,0.690,-0.000,0.27526034412504535,-0.723,0.690,0.000,0.2304090181899832,-0.000,-0.000,1.000,0.2706118990863201,0.714,-0.000,0.700,0.2706315458531515,-0.714,0.000,0.700,0.2815049731521954,-0.000,0.698,0.716,0.33139354757618505,0.590,0.563,0.579,0.3260812812705251,-0.590,0.563,0.578,0.281515513293677,0.000,-0.698,0.716,0.3260728601289301,0.590,-0.563,0.578,0.33142025527382607,-0.590,-0.563,0.579
1.0,0.0,0.0,0.0,63,0.23527908389532817,1.000,-0.000,-0.000,0.24235588742391065,-0.000,1.000,-0.000,0.285767277300892,0.721,0.693,-0.000,0.28577671814161326,-0.721,0.693,0.000,0.23870873175924084,-0.000,-0.000,1.000,0.27685284365014273,0.714,-0.000,0.700,0.27693453213392055,-0.714,0.000,0.700,0.2914855445161406,-0.000,0.700,0.715,0.3380462928602694,0.589,0.565,0.577,0.3381044668493174,-0.589,0.565,0.577,0.2915207060620652,-0.000,-0.700,0.714,0.33806501875279193,0.589,-0.565,0.577,0.33814436980596685,-0.589,-0.565,0.577
